ngo_description,category,urgency_level
Need to address breastfeeding mothers in camp without nutritional supplements pls fix,food,Low
Pls dead animals decomposing near Parli relief camp causing disease risk,hygiene,Low
Food vouchers not accepted at local shops near Nashik Road is creating inconvenience,food,High
Children in Deoli unable to access online classes due to no electricity,education,Low
Elderly flood survivor found wandering alone near Chiplun,elderly support,Medium
"SOS: snake bite cases increasing with no antivenom available, needs attention soon",medical,Critical
Wheelchair-bound senior unable to access relief services in Arvi the whole neighborhood is complaining,elderly support,Critical
Need to address damaged road blocking access to shelter and it has been like this for days. immediate attention is needed.,shelter,Critical
"Issue with school uniform and shoes lost in flooding, children embarrassed to attend is creating inconvenience",education,Medium
Emergency: pls temporary shelter in Barshi dismantled before permanent housing arranged,shelter,Critical
"Critical alert: children in Walwa unable to access online classes due to no electricity, needs attention soon",education,Critical
Blood bank in Jalgaon City running critically low on supplies,medical,Medium
Please escalate: hygiene awareness sessions cancelled in Kalamb without notice pls fix,hygiene,High
Rat infestation in Sangli City due to uncleared garbage the whole neighborhood is complaining,hygiene,Critical
Diabetic patients not receiving appropriate diet support,food,Low
Urgent: damaged bridge cutting off Vasai from emergency relief,shelter,High
Requires immediate response: flood relief funds not disbursed to victims in Umarkhed pls fix,disaster relief,Critical
FYI: no baby food available at Jogeshwari relief distribution point,food,Low
Relief workers in Buldhana not provided with protective gear or support,disaster relief,Medium
SOS: residents of Andheri East living under flyover after home destroyed,shelter,Critical
Please fix dry ration kits not delivered to 200 registered families pls fix,food,Medium
Eld3rly fl00d surv1v0r f0und wand3r1ng al0n3 n3ar G0vand1,elderly support,Critical
Alert: pls dementia patient in Nilanga separated from family during evacuation,elderly support,High
Elderly and disabled persons sleeping on bare floor in Thane City camp pls fix,shelter,Low
Urgent: open defecation in Kondhwa posing serious health risk the whole neighborhood is complaining,hygiene,High
Power cut is creating inconvenience,disaster relief,Medium
"Coaching centre in Mhaisal closed, students without support is creating inconvenience",education,High
Needs attention: disaster map not updated for Jintur causing misdirected aid,disaster relief,Medium
Please look into pls rat infestation in Pathri due to uncleared garbage,hygiene,Medium
Please escalate: elderly residents unable to access food relief after disaster,food,High
No special care provided to elderly at relief camp,elderly support,Critical
Alert: senior citizens in camp not receiving food or medicine the whole neighborhood is complaining,elderly support,High
Escalating: relief workers in Panvel not provided with protective gear or support the whole neighborhood is complaining,disaster relief,High
Escalating: diarrhea outbreak in Osmanabad affecting over 15 families,medical,High
Please escalate: emergency food and water yet to reach 50 households in Kandhar pls fix,disaster relief,High
Ongoing issue with water leak leaving families without supply and it has been like this for days. immediate attention is needed.,food,Critical
"Issu3 with dirty wat3r stagnation, n33ds att3ntion soon",medical,Medium
Pls malnourished children spotted in Daryapur relief camp,food,High
outbreak of fever cases reported in miraj with no medical team,medical,Medium
Requires immediate response: fl00d r3l13f funds n0t d1sburs3d t0 v1ct1ms 1n M0rsh1,disaster relief,Critical
Urgent: senior residents facing cold nights without blankets in Sengaon is creating inconvenience,elderly support,High
Dangerous situation: no food packets distributed to Hingna flood survivors and it has been like this for days,food,Critical
Alert: rental support not disbursed to 25 families in Gondia,shelter,High
Elderly man with no identification unable to access relief in Osmanabad,elderly support,Medium
"Urgent: contaminated water, safe drinking water needed",food,Critical
SOS: construction of relief houses stalled in Baramati for 5 days the whole neighborhood is complaining,shelter,Critical
Reporting that senior residents facing cold nights without blankets in Andheri East is creating inconvenience,elderly support,Low
Exam postponement causing stress among students in Malad,education,High
"Please escalate: communication tower damaged in beed city, no mobile network for 3 days",disaster relief,High
Pls boats and rescue equipment not prepositioned near Indapur before cyclone,disaster relief,High
Shelter camp flooded again after second wave of rain in Taloja is creating inconvenience,shelter,Medium
SOS: rescue boats not deployed in Nagothane despite rising water levels,disaster relief,Critical
"Library books destroyed by flood in Jintur school, needs attention soon",education,Medium
Pls no soap or hygiene kits provided at shelter camp in Kurla,hygiene,Critical
"Government school in Khed being used as shelter, no classes held",education,Critical
Women and children unsafe in open camp at night in Indapur,shelter,Medium
"Issue with unhygienic conditions causing illness risk, needs attention soon pls fix",hygiene,Medium
Please fix rental support not disbursed to 30 families in Mhaisal the whole neighborhood is complaining,shelter,Medium
Pls emergency food and water yet to reach 200 households in Kondhwa,disaster relief,Medium
Ongoing issue with damaged road infrastructure near community which is causing a lot of trouble. immediate attention is needed.,shelter,Critical
"Exam postponement causing stress among students in Aheri, needs attention soon",education,Critical
Just informin water leak leaving families without supplyage in pipe,food,Low
Pls relief camp in Ambejogai has no privacy partitions for families,shelter,Medium
"Please escalate: malnourished children spotted in Belapur relief camp, needs attention soon",food,High
Flood waters receded but homes too damaged to return to in Shahapur,shelter,Critical
CRITICAL: malnourished children spotted in Bhokar relief camp,food,Critical
Diabetic patients not receiving appropriate diet support,food,Critical
No toilets available at relief camp for 150 families and it has been like this for days,hygiene,Critical
Follow up needed on dementia patient in bhandup separated from family during evacuation,elderly support,Medium
Dangerous situation: mentally ill individuals left without care after disaster,medical,Critical
"Unsafe path to shelter, needs repair not urgent but should be fixed pls fix",shelter,Critical
Alert: night soil collected manually and dumped near Hingna camp and it has been like this for days,hygiene,High
SOS: night soil collected manually and dumped near Akola Rural camp and it has been like this for days,hygiene,Critical
Senior citizens without medical support or companionship,elderly support,Medium
Need to address library books destroyed by flood in Dahisar school and it has been like this for days,education,Low
Critical alert: no physiotherapy or rehabilitation support for elderly in Dahisar camp,elderly support,Critical
"Dangerous situation: drainage pipes choked, causing waterlogging in Igatpuri shelter zone pls fix",hygiene,Critical
Escalating: mid-day meal stopped at school affecting attendance in Ardhapur and it has been like this for days,education,High
Please escalate: no ambulance available in Vasai for emergency cases the whole neighborhood is complaining,medical,High
Please escalate: sanitation volunteers refused entry to Wani without reason,hygiene,High
Alert: nDRF team not reachable for flood-hit locality in Chikalthana,disaster relief,High
"Pls government relief camp in Pachora shut prematurely, families still displaced",disaster relief,Medium
"Issue with contaminated water causing illness stagnation, needs attention soon",medical,Medium
Emergency: special needs children without educational support,education,Critical
Requires immediate response: mid-day meal stopped at school affecting attendance in Mankhurd and it has been like this for days,education,Critical
Serious issue: bedridden elderly person in Murud with no caregiver and it has been like this for days,elderly support,High
CRITICAL: senior citizens in Chikalthana not transported to hospital despite requests,elderly support,Critical
"CRITICAL: pls no chalk, blackboard or stationery at makeshift school in Akola City camp",education,Critical
Issue with nDRF team not reachable for flood-hit locality in Rajapur,disaster relief,Medium
"Please look into school building in Satara City damaged by flood, students displaced",education,Medium
Mental health crisis cases going unaddressed in Uran camp,medical,Medium
"Emergency food and water yet to reach 10 households in Murud, needs attention soon",disaster relief,Low
Pls flood-affected families surviving only on biscuits for 14 days,food,Critical
"Dangerous situation: no chalk, blackboard or stationery at makeshift school in Solapur East camp",education,Critical
Contaminated well water being used in Risod village,hygiene,Medium
Dirty wat3r stagnation is cr3ating inconv3ni3nc3,medical,Medium
Issue with no sandbags provided to protect remaining structures in Risod,shelter,Medium
Life threatening: eld3rly c0upl3 1n Amravat1 C1ty surv1v1ng w1th0ut any g0v3rnm3nt a1d,elderly support,Critical
Needs attention: pls old woman in Balapur collapsed due to lack of food and support,elderly support,Medium
Dry ration kits not delivered to 50 registered families is creating inconvenience,food,Critical
"Critical alert: bleaching powder not distributed to Parbhani City for disinfection, needs attention soon",hygiene,Critical
SOS: food vouchers not accepted at local shops near Pandharpur and it has been like this for days,food,Critical
relief camp in kamptee overcrowded with 30 families,shelter,High
Food ration cards not working for slum residents in Khed and it has been like this for days,food,High
Pls displaced families not allotted any relief camp in Gadchiroli and it has been like this for days,shelter,Medium
Families in Dhule City sleeping in the open after losing homes and it has been like this for days,shelter,Medium
"Issue with water leak leaving families without supplyage in pipe, needs attention soon",food,Medium
Water leak leaving families without supplyage in pipe not urgent but should be fixed,food,Critical
Wounded persons from Jat not shifted to hospital for 2 days,medical,High
Immediate action needed: wheelchair-bound senior unable to access relief services in Nagothane,elderly support,High
Relief materials piling up in warehouse not reaching Pune Camp,disaster relief,Low
Issue with senior citizens in Satpur not transported to hospital despite requests,elderly support,Medium
Mental health crisis cases going unaddressed in Khed camp,medical,Critical
Homeless individuals with no access to relief shelters in Goregaon,shelter,Critical
Chemical factory spill near Taloja causing panic and illness pls fix,disaster relief,Critical
Old w0man 1n But1b0r1 c0llaps3d du3 t0 lack 0f f00d and supp0rt,elderly support,Low
Please look into wheelchair-bound senior unable to access relief services in Amgaon is creating inconvenience,elderly support,Medium
Pls mental health crisis cases going unaddressed in Shahada camp,medical,High
Escalating: em3rg3ncy f00d and wat3r y3t t0 r3ach 30 h0us3h0lds 1n Waluj,disaster relief,High
Just informing mosquito probl3m,medical,Low
There is unhygienic conditions causing illness risk and it has been like this for days. life-threatening attention is needed.,hygiene,Critical
Immediate action needed: elderly man in Pachora with no relatives or support after disaster the whole neighborhood is complaining,elderly support,High
Pls emergency helpline not working for residents of Ambejogai,disaster relief,Critical
Needs attention: pls no digital access for students during recovery period in Sinnar,education,Medium
Need to address no clean water supply for families this is a major safety risk. emergency attention is needed.,food,Critical
"Pls landslide destroyed 15 homes in Butibori, urgent shelter needed",shelter,High
"Issu3 with no wat3r supply, n33ds att3ntion soon",food,Medium
"Coaching centre in Dharavi closed, students without support the whole neighborhood is complaining",education,Critical
Reporting that stagnant water breeding mosquitoes in Sangli City lanes the whole neighborhood is complaining,hygiene,Low
Alert: elderly man in Andheri East with no relatives or support after disaster,elderly support,High
Requires immediate response: pls cracked walls in housing block posing danger to residents,shelter,Critical
CRITICAL: pls emergency helpline not working for residents of Hatkanangale,disaster relief,Critical
"Landslide destroyed 150 homes in Shahada, urgent shelter needed, needs attention soon",shelter,Low
There is inadequate lighting in emergency relief camp the whole neighborhood is complaining. life-threatening attention is needed.,disaster relief,Critical
"Reporting that no lighting in residential area, safety risk which is causing a lot of trouble. life-threatening attention is needed.",shelter,Critical
Please escalate: abandoned elderly person in Bhandup needs immediate care,elderly support,High
High priority: flood relief funds not disbursed to victims in Ghatkopar,disaster relief,High
Please escalate: group home for elderly in Deoli has no generator or backup power and it has been like this for days,elderly support,High
For attention: special needs children without educational support,education,Low
"Alert: school building in Kondhwa damaged by flood, students displaced pls fix",education,High
Reporting that overflowing waste near shelter camp which is causing a lot of trouble. fire attention is needed.,hygiene,Critical
Emergency: dropout rate rising among migrant children in Nagothane,education,Critical
CRITICAL: temporary shelter in Vasai dismantled before permanent housing arranged,shelter,Critical
Urgent: downed power line endangering disaster survivors which is causing a lot of trouble. life-threatening attention is needed.,disaster relief,Critical
Life threatening: temporary shelter in Khamgaon dismantled before permanent housing arranged,shelter,Critical
Bleaching powder not distributed to Murud for disinfection,hygiene,Low
"Please fix eye infection spreading rapidly in Hadapsar due to unhygienic water, needs attention soon",medical,Medium
No food packets distributed to Khed flood survivors is creating inconvenience,food,Critical
CRITICAL: no special care provided to elderly at relief camp is creating inconvenience,elderly support,Critical
Please look into no tarpaulins provided to flood survivors,shelter,Medium
Emergency: patients with chronic illness running out of medication,medical,Critical
"Pls anganwad1 w0rk3r m1ss1ng aft3r fl00d, pr3-sch00l cl0s3d 1n S1nnar",education,Medium
High priority: pregnant woman unable to reach hospital due to floods,medical,High
"Multiple families trapped in Beed City building, rescue pending",disaster relief,Critical
"Issue with coaching centre in Panvel closed, students without support",education,Medium
senior citizens in butibori not transported to hospital despite requests,elderly support,High
Flood relief funds not disbursed to victims in Sinnar,disaster relief,High
Senior citizen with hearing impairment in Pathri getting no support,elderly support,Medium
Sanitation workers not deployed in Hadapsar after floods,hygiene,Medium
Diabetic patients not receiving appropriate diet support,food,Critical
"Urgent: relief coordinator in Goregaon unreachable, no one managing distribution",disaster relief,High
Cyclone shelter in Kalamnuri not opened despite warning the whole neighborhood is complaining,disaster relief,High
Please escalate: relief camp in Nandurbar overcrowded with 200 families the whole neighborhood is complaining,shelter,High
"Multiple families trapped in Taloja building, rescue pending, needs attention soon",disaster relief,Critical
Please escalate: dead animals decomposing near Morshi relief camp causing disease risk,hygiene,High
Follow up needed on dry ration kits not delivered to 15 registered families,food,Medium
"Dry ration kits not delivered to 25 registered families, needs attention soon",food,Critical
Please escalate: old age pensioners in Nagothane not receiving their monthly allowance pls fix,elderly support,High
Pls no lighting in disaster-affected area is creating inconvenience,disaster relief,Medium
Small inconvenience due to streetlight not working,disaster relief,Low
Pls water leak leaving families without supplyage in pipe not urgent but should be fixed,food,Critical
Pls old age home in Jalgaon Jamod damaged and residents displaced,elderly support,Medium
"No digital access for students during recovery period in Vita, needs attention soon",education,High
"Pls just informing muddy water, clean water needed urgently",food,Low
FYI: fire broke out in Nalasopara and fire brigade took too long to arrive and it has been like this for days,disaster relief,Low
Requires immediate response: teachers unreachable after cyclone in Chembur,education,Critical
Oxygen cylinder shortage reported at health post in Jintur is creating inconvenience,medical,Low
Requires immediate response: children traumatized by flood need psychosocial support in Mul,education,Critical
Reporting that uncollected waste affecting families,hygiene,Low
Ongoing issue with power failure during disaster affecting families this is a major safety risk. hazard attention is needed.,disaster relief,High
Emergency: relief workers in Ichalkaranji not provided with protective gear or support is creating inconvenience,disaster relief,Critical
Medical camp in Shirur closed for 11 days with no alternative,medical,Low
"Dangerous situation due to damaged road blocking access to shelters, please resolve asap",shelter,High
Please look into sanitation workers not deployed in Amravati City after floods,hygiene,Medium
Boats and rescue equipment not prepositioned near Chandrapur City before cyclone,disaster relief,Critical
Elderly residents of Satara City left alone after family evacuation,elderly support,Medium
Pls heavy winds damaged temporary shelters of 10 families in Katraj,shelter,High
Reporting that mental health crisis cases going unaddressed in Udgir camp and it has been like this for days,medical,Low
"Need to address disease outbreak risk, medical aid needed the whole neighborhood is complaining. fire attention is needed.",medical,Critical
Dead animals decomposing near Basmath relief camp causing disease risk the whole neighborhood is complaining,hygiene,Critical
Emergency: oxygen cylinder shortage reported at health post in Goregaon pls fix,medical,Critical
Needs attention: disaster response team yet to reach Malad after 9 days,disaster relief,Medium
Please fix children defecating in open near water source in Arvi,hygiene,Medium
Requires immediate response: dropout rate rising among migrant children in Vikhroli,education,Critical
Urgent: power failure during disaster affecting families which is causing a lot of trouble. hazard attention is needed.,disaster relief,Critical
Community kitchen shut down due to lack of funds,food,Medium
Minor concern: eld3rly fl00d surv1v0r f0und wand3r1ng al0n3 n3ar But1b0r1,elderly support,Low
Pls old w0man 1n Mha1sal c0llaps3d du3 t0 lack 0f f00d and supp0rt,elderly support,Medium
Pls elderly residents unable to access food relief after disaster,food,Medium
Dementia patient in Morshi separated from family during evacuation,elderly support,Critical
Pls relief materials piling up in warehouse not reaching Paranda,disaster relief,High
Dangerous situation: no ambulance available in Butibori for emergency cases,medical,Critical
"Issue reported: dirty water, clean water distribution needed, moderate urgency",food,Medium
Construction debris blocking evacuation route in Alibaug the whole neighborhood is complaining,shelter,Critical
"Elderly flood survivor needs mobility assistance in Thane City, needs attention soon",elderly support,Critical
oxygen cylinder shortage reported at health post in cidco,medical,Critical
"Issu3 with unhygi3nic ar3a, n33ds att3ntion soon",medical,Medium
Pls medical camp in Akola Rural closed for 13 days with no alternative,medical,Low
"Please escalate: relief camp in Ratnagiri City has no bathing facilities for 150 families, needs attention soon",hygiene,High
Cyclone shelter in Kandivali not opened despite warning,disaster relief,Low
Alert: skin disease spreading among relief camp residents,medical,High
Alert: flood waters receded but homes too damaged to return to in Amgaon,shelter,High
Sparking wire posing fire risk to shelters not urgent but should be fixed pls fix,disaster relief,Critical
Huge damaged road blocking access to shelters not urgent but should be fixed,shelter,Critical
Cholera symptoms reported in 50 residents of Kamothe camp,medical,Medium
Minor concern: elderly man in Wani with no relatives or support after disaster and it has been like this for days,elderly support,Low
Snake bite cases increasing with no antivenom available and it has been like this for days,medical,Critical
Ongoing issue with teachers unreachable after cyclone in Dhule City,education,Low
Emergency: no blankets or mats provided to flood survivors and it has been like this for days,shelter,Critical
SOS: senior citizens unable to stand in relief line in Nashik Road,elderly support,Critical
Alert: food distribution camp in barshi has run out of supplies,food,High
"Mult1pl3 fam1l13s trapp3d 1n Arv1 bu1ld1ng, r3scu3 p3nd1ng",disaster relief,High
"No waste bins in Chalisgaon camp, garbage strewn everywhere, needs attention soon",hygiene,High
Not urgent but garbage overflow needs attention,hygiene,Critical
Senior citizens unable to stand in relief line in Chembur is creating inconvenience,elderly support,Medium
"Serious issue: government relief camp in Chamorshi shut prematurely, families still displaced the whole neighborhood is complaining",disaster relief,High
Food vouchers not accepted at local shops near Ardhapur pls fix,food,High
Critical alert: mid-day meal stopped at school affecting attendance in Kurla and it has been like this for days,education,Critical
Mentally ill individuals left without care after disaster,medical,High
Alert: old age home in Katol damaged and residents displaced,elderly support,High
Life threatening: fire broke out in Amravati City and fire brigade took too long to arrive,disaster relief,Critical
Minor concern: bleaching powder not distributed to Pen for disinfection,hygiene,Low
Needs attention: diabetic patients not receiving appropriate diet support pls fix,food,Medium
"Pls chemical factory spill near Chembur causing panic and illness, needs attention soon",disaster relief,Medium
Rental support not disbursed to 25 families in Shahada the whole neighborhood is complaining,shelter,Low
SOS: injured flood survivors not getting wound care pls fix,medical,Critical
Please look into elderly and disabled persons sleeping on bare floor in Taloda camp pls fix,shelter,Medium
"Emergency: anganwadi worker missing after flood, pre-school closed in Shahada",education,Critical
Requires immediate response: fl00d v1ct1ms surv1v1ng 0n c0ntam1nat3d wat3r w1th n0 f00d,food,Critical
Alert: dropout rate rising among migrant children in Parli,education,High
"Urgent: group home for elderly in Morshi has no generator or backup power, needs attention soon",elderly support,High
N0 t3mp0rary l3arn1ng c3ntr3s s3t up aft3r d1sast3r,education,Critical
Pls senior citizens unable to stand in relief line in Akkalkuwa,elderly support,Low
"CRITICAL: coaching centre in Amravati City closed, students without support and it has been like this for days",education,Critical
Food vouchers not accepted at local shops near Chamorshi,food,Medium
Issue with elderly and disabled persons sleeping on bare floor in Ambernath camp and it has been like this for days,shelter,Medium
Heavy winds damaged temporary shelters of 15 families in Sindkhede the whole neighborhood is complaining,shelter,Critical
Requires immediate response: san1tat10n w0rk3rs n0t d3pl0y3d 1n Cham0rsh1 aft3r fl00ds,hygiene,Critical
Temporary shelters not waterproof causing distress in Shirpur,shelter,Medium
There is wounded persons from Kagal not shifted to hospital for 13 days,medical,Low
Please fix pls senior citizens in Badnera not transported to hospital despite requests,elderly support,Medium
Need to address power outage leaving disaster-affected families in dark and it has been like this for days. danger attention is needed.,disaster relief,High
Life threatening: dead animals decomposing near Govandi relief camp causing disease risk,hygiene,Critical
"Pls just informing muddy water, clean water needed urgently",food,Low
Escalating: differently-abled student in Borivali unable to access ramp or support is creating inconvenience,education,High
"SOS: anganwadi worker missing after flood, pre-school closed in bhandup",education,Critical
"Issue with water leak leaving families without supplyage in pipe, needs attention soon",food,Medium
"There is community kitchen shut down due to lack of funds, needs attention soon",food,Low
Life threatening: pls elderly woman in Wai not aware of any available relief schemes,elderly support,Critical
Emergency: children going to school hungry in Gadchiroli due to poverty pls fix,food,Critical
"Exam1nat10n hall d3str0y3d, stud3nts unabl3 t0 app3ar f0r b0ard 3xams",education,High
High priority: menstrual hygiene products not available in Murbad camp,hygiene,High
Relief camp in Dharur overcrowded with 30 families,shelter,Medium
"CRITICAL: relief coordinator in Jat unreachable, no one managing distribution",disaster relief,Critical
Flood waters receded but homes too damaged to return to in Ambernath,shelter,High
"Escalating: malnourished children spotted in Purna relief camp, needs attention soon",food,High
Children not enrolled due to lack of documents in Ballarpur,education,High
Relief trucks not reaching Satara City due to damaged roads,food,High
Just informing muddy wat3r,food,Low
"Relief coordinator in Bhusawal unreachable, no one managing distribution",disaster relief,Critical
FYI: no mid-day meals distributed at school for 6 days,food,Low
"Need to address dirty water, clean water distribution needed which is causing a lot of trouble. immediate attention is needed.",food,Critical
Ch3m1cal fact0ry sp1ll n3ar Andh3r1 W3st caus1ng pan1c and 1lln3ss,disaster relief,Medium
For attention: no mid-day meals distributed at school for 10 days is creating inconvenience,food,Low
"Please escalate: flood relief funds not disbursed to victims in Udgir, needs attention soon",disaster relief,High
SOS: no tarpaulins provided to flood survivors the whole neighborhood is complaining,shelter,Critical
Serious issue: fam1l13s 1n M0rsh1 hav3 g0n3 w1th0ut f00d f0r 4 days,food,High
"Follow up needed on school uniform and shoes lost in flooding, children embarrassed to attend, needs attention soon",education,Medium
Elderly couple in Taloja surviving without any government aid,elderly support,Critical
Garbage piling up not urgent but should be fixed,hygiene,Critical
Escalating: pls drought-affected farmers need emergency food aid,food,High
Temporary shelter disrupting schooling for 25 kids,education,High
Reporting that flooded road cutting off residential area which is causing a lot of trouble. life-threatening attention is needed.,shelter,Critical
Pls temporary shelter in Bhusawal dismantled before permanent housing arranged,shelter,Medium
Immediate action needed: sewage overflow contaminating water supply in Ulhasnagar and it has been like this for days,hygiene,High
Food stock expired at distribution point in Murtajapur and it has been like this for days,food,Critical
Please escalate: no insulin available for diabetic patients in Kalamb shelter the whole neighborhood is complaining,medical,High
Needs attention: no digital access for students during recovery period in Vasai the whole neighborhood is complaining,education,Medium
Follow up needed on group of 50 elderly survivors in Roha need urgent shelter,elderly support,Medium
Just informing malnourished children spotted in Shahada relief camp is creating inconvenience,food,Low
Requires immediate response: snake bite cases increasing with no antivenom available pls fix,medical,Critical
"Serious issue: senior citizens in Ballarpur not transported to hospital despite requests, needs attention soon",elderly support,High
Teachers unreachable after cyclone in Butibori the whole neighborhood is complaining,education,Critical
Serious issue: children not enrolled due to lack of documents in Vita,education,High
Please fix starvation reported among homeless persons near Tirora the whole neighborhood is complaining,food,Medium
no doctor visiting rural health camp for 9 days,medical,Low
CRITICAL: pls relief trucks not reaching Washim due to damaged roads,food,Critical
Issue with elderly man in Wanowrie with no relatives or support after disaster,elderly support,Medium
Requires immediate response: pls senior citizens in camp not receiving food or medicine,elderly support,Critical
Requires immediate response: bleaching powder not distributed to Akkalkot for disinfection,hygiene,Critical
Old age pensioners in Chembur not receiving their monthly allowance and it has been like this for days,elderly support,High
"Please look into elderly woman in Daryapur surviving only on biscuits, no proper meals and it has been like this for days",elderly support,Medium
SOS: earthquake tremors felt in Deoli causing structural damage pls fix,disaster relief,Critical
"Abandoned elderly person in Arvi needs immediate care, needs attention soon",elderly support,High
Need to address downed power line endangering disaster survivors which is causing a lot of trouble. leak attention is needed.,disaster relief,High
Ov3rflowing dustbin not urg3nt but should b3 fix3d,hygiene,Low
Kindly address relief camp in Tuljapur overcrowded with 100 families is creating inconvenience,shelter,Medium
"There is an issue with unhygienic conditions causing illness risk, needs to be fixed soon",hygiene,Medium
Need to address wounded persons from Nalasopara not shifted to hospital for 3 days is creating inconvenience,medical,Low
Elderly man in Mankhurd with no relatives or support after disaster the whole neighborhood is complaining,elderly support,High
"Power lines down in Chamorshi after cyclone, 50 families affected the whole neighborhood is complaining",disaster relief,Medium
"Flood-affected children need books, stationery and teaching volunteers",education,Low
"There is dirty water, clean water distribution needed this is a major safety risk. leak attention is needed.",food,High
Urgent: garbage overflow causing serious safety risk in the area,hygiene,Critical
Requires immediate response: old age home in Khanapur damaged and residents displaced,elderly support,Critical
bleaching powder not distributed to pathri for disinfection,hygiene,Low
"High priority: newborn in distress at Parli camp, no paediatric support",medical,High
Old age pensioners in Aurangabad City not receiving their monthly allowance,elderly support,Low
Pls power outage leaving disaster-affected families in dark is creating inconvenience,disaster relief,Medium
"Families displaced, children need educational continuity support",education,Critical
Please escalate: old age home in Murtajapur damaged and residents displaced,elderly support,High
No soap or hygiene kits provided at shelter camp in Ichalkaranji and it has been like this for days,hygiene,High
CRITICAL: dead animals decomposing near Roha relief camp causing disease risk,hygiene,Critical
Follow up needed on shortage of medicines at Chiplun PHC causing distress and it has been like this for days,medical,Medium
Immediate action needed: no sandbags provided to protect remaining structures in Kamptee,shelter,High
Mosquito problem is creating inconvenience,medical,Medium
"Escalating: senior citizens in Dharur not transported to hospital despite requests, needs attention soon",elderly support,High
High priority: pregnant woman unable to reach hospital due to floods is creating inconvenience,medical,High
Bedridden elderly person in Amravati City with no caregiver,elderly support,High
Kindly address no school bus route restored after disaster in Nilanga is creating inconvenience,education,Medium
Sparking wir3s not urg3nt but should b3 fix3d,disaster relief,Low
"Emergency: food distribution camp in Latur Camp has run out of supplies, needs attention soon",food,Critical
Urgent: pls rescue boats not deployed in Satpur despite rising water levels,disaster relief,High
Please fix bleaching powder not distributed to malad for disinfection,hygiene,Medium
Pls ration shop in Ardhapur not opening despite government orders,food,Critical
"Life threatening: landslide destroyed 10 homes in Sinnar, urgent shelter needed",shelter,Critical
"Immediate action needed: temporary shelter in Shirpur dismantled before permanent housing arranged, needs attention soon",shelter,High
Minor concern: porta-potties overflowing at disaster relief site in Bhandup,hygiene,Low
"Reporting that water pipeline burst, families without clean water and it has been like this for days. danger attention is needed.",food,High
"High priority: no food packets distributed to Nanded City flood survivors, needs attention soon",food,High
Please fix displaced families not allotted any relief camp in Mangalwedha,shelter,Medium
"There is animal bite cases, medical attention needed which is causing a lot of trouble. urgent attention is needed.",medical,Critical
Immediate action needed: cyclone shelter in Umarkhed not opened despite warning is creating inconvenience,disaster relief,High
Flood relief funds not disbursed to victims in Dhule City and it has been like this for days,disaster relief,High
"Reporting that power lines down in Mira Road after cyclone, 100 families affected and it has been like this for days",disaster relief,Low
Please escalate: temporary shelters not waterproof causing distress in Akot and it has been like this for days,shelter,High
Displaced families not allotted any relief camp in Hingoli,shelter,Medium
"Issue with unsafe path to shelter, needs repair, needs attention soon",shelter,Medium
Issue with pregnant women not receiving nutritional support at relief camp,food,Medium
Diarrhea outbreak in Shirpur affecting over 150 families,medical,High
F1r3 br0k3 0ut 1n t3mp0rary camp d3str0y1ng b3l0ng1ngs 1n H1ngna,shelter,Critical
"Issue reported: streetlight not working, moderate urgency",disaster relief,Medium
Temporary shelter in Udgir dismantled before permanent housing arranged,shelter,Low
Flood-affected families surviving only on biscuits for 6 days,food,High
"Life threatening: flood warning ignored in Andheri West, families now stranded pls fix",disaster relief,Critical
Life threatening: food vouchers not accepted at local shops near Sinnar,food,Critical
No water supply is creating inconvenience pls fix,food,Medium
Dementia patient in Andheri East separated from family during evacuation pls fix,elderly support,Low
Issue with senior residents facing cold nights without blankets in Pune Camp is creating inconvenience,elderly support,Medium
Serious issue: cholera symptoms reported in 100 residents of Akkalkuwa camp,medical,High
Garbage uncollected in Sengaon for 4 days,hygiene,High
Need to address power failure during disaster affecting families which is causing a lot of trouble. urgent attention is needed.,disaster relief,Critical
Needs attention: women and children unsafe in open camp at night in Ausa is creating inconvenience,shelter,Medium
"Coaching centre in Panvel closed, students without support pls fix",education,Critical
Infant f0rmula sh0rtag3 r3p0rt3d at r3l13f c3ntr3,food,High
Women and children unsafe in open camp at night in Ulhasnagar,shelter,Medium
Please escalate: menstrual hygiene products not available in Barshi camp,hygiene,High
Unhygienic area not urgent but should be fixed,medical,Critical
"Emergency: boats and rescue equipment not prepositioned near Islampur before cyclone, needs attention soon",disaster relief,Critical
Life threatening: r3l13f w0rk3rs 1n Ratnag1r1 C1ty n0t pr0v1d3d w1th pr0t3ct1v3 g3ar 0r supp0rt,disaster relief,Critical
Huge damaged road blocking access to shelters not urgent but should be fixed,shelter,Critical
Life threatening: community kitchen shut down due to lack of funds,food,Critical
"Minor issue: garbage overflow, can be addressed later",hygiene,Low
Reporting that mentally ill individuals left without care after disaster,medical,Low
Please look into disaster map not updated for Akkalkot causing misdirected aid is creating inconvenience,disaster relief,Medium
There is eye infection spreading rapidly in Sangli City due to unhygienic water,medical,Low
"Please fix landslide destroyed 150 homes in Ambejogai, urgent shelter needed",shelter,Medium
Please fix flood-affected families surviving only on biscuits for 14 days pls fix,food,Medium
"Issue with garbage piling up, needs attention soon",hygiene,Medium
Immediate action needed: medical camp in Shriwardhan closed for 10 days with no alternative is creating inconvenience,medical,High
Immediate action needed: senior citizens in Mangrulpir not transported to hospital despite requests pls fix,elderly support,High
